rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
18,0.029520273208618164,0.00038246174807936127,0.007590007781982422,0.00037212560629744536,1.0,0.001,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0425688065279606,-0.8784020421281344,-0.38046305527919855,-0.6925576941998685,-0.8359079801053572,-0.7659799156481039,0.22273040004016997
19,0.02872433662414551,0.0006709624197369975,0.007357311248779297,0.00037781563869351283,1.0,0.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.041551523488251,-0.8791842351537273,-0.38089310832045353,-0.692846403017135,-0.8371620552853563,-0.7663274650529847,0.22246868629102626
20,0.02877192497253418,0.0006642968592522518,0.007835626602172852,0.001080734414581828,1.0,0.0001,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.040925471827576,-0.8790689390441501,-0.38091132560370733,-0.6933193558329136,-0.8375754547421939,-0.7663601094101081,0.22229114267043443
21,0.02955169677734375,0.0008843652535448117,0.007788467407226563,0.0010001164118310646,10.0,0.01,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.101209099807631,-0.9027582438003318,-0.40006567190374914,-0.6993777112722711,-0.855028914416527,-0.7916879282401019,0.23411160543279816
22,0.029698562622070313,0.0005023977751023496,0.007426071166992188,0.00042109260767964947,100.0,0.01,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.107914351539584,-0.9065003218850388,-0.40271725785203194,-0.7005021782799163,-0.8588875619824544,-0.795304334307805,0.2354758835872935
23,0.02891120910644531,0.0003937890491927647,0.007208824157714844,0.00033087537651968376,10.0,0.01,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-1.1098694806853544,-0.9067271099299896,-0.403805483833158,-0.6998979756717951,-0.859232150532243,-0.7959064401305082,0.23572226982792718
24,0.029462528228759766,0.00019194501590465791,0.007792997360229492,0.001153921927052846,1.0,0.01,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-1.1101514371301255,-0.9073802956988936,-0.40360497237590526,-0.7008294948316034,-0.8608177291886348,-0.7965567858450325,0.23593548543777942
25,0.0296933650970459,0.0005434948010206845,0.0074100494384765625,0.0003009636966015975,10.0,0.0001,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1077629034592442,-0.9068138601752409,-0.40402754230308063,-0.7013383005400695,-0.8632144981375535,-0.7966314209230378,0.2351998553638391
26,0.029607820510864257,0.0002244450976493627,0.007323932647705078,0.00037501429376347243,100.0,0.01,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-1.1118946508546563,-0.9068207068554056,-0.40419577836607645,-0.7001095185375656,-0.8604693845587896,-0.7966980078344987,0.2361906253442262
27,0.0302889347076416,0.0005746196603982461,0.008086872100830079,0.0008904750839965823,10.0,0.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1053130607418415,-0.9069329632639265,-0.40434903640279785,-0.7013177989865242,-0.8661966678370596,-0.7968219054464301,0.23463166150031295
