Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Pentiment,1222.1794177696022,1222.1794177696022,17.52027777777778,11/15/2022,Adventure,Obsidian Entertainment
Path Of Exile 2,1222.0938047797924,1222.0938047797924,44.29194444444445,12/6/2024,Action RPG,Grinding Gear Games
Final Fantasy IV,1219.5082142422164,1219.5082142422164,23.43722222222222,3/28/2002,JRPG,TOSE
Shovel Knight,1218.9988045749585,1218.9988045749585,8.469722222222222,6/26/2014,2D Platformer,Yacht Club Games
Deep Rock Galactic,1218.5457996985863,1218.5457996985863,112.1661111111111,5/13/2020,FPS,Ghost Ship Games
Norco,1217.855487225241,1217.855487225241,7.024444444444445,3/24/2022,Point-and-Click,Geography of Robots
Scarlet Hollow,1217.2946570884412,1217.2946570884412,5.0,6/11/2021,Visual Novel,
Risk of Rain 2,1217.2133426045368,1217.2133426045368,45.96055555555556,8/30/2019,Third Person Shooter,Hopoo Games
Thief: The Dark Project,1216.611769101322,1216.611769101322,16.644444444444446,11/30/1998,Open-World Action,Ryu ga Gotoku Studios
Cryptmaster,1216.2371909961723,1216.2371909961723,13.096944444444444,5/9/2024,RPG,Paul Hart
The Legend of Zelda: Link's Awakening,1216.0683490241852,1216.0683490241852,16.077222222222222,9/20/2019,Open-World Action,GREZZO
METAL GEAR SOLID V: The Phantom Pain,1216.0555461387314,1216.0555461387314,80.3861111111111,9/1/2015,Open-World Action,Kojima Productions
Pillars of Eternity,1215.6962629575034,1215.6962629575034,66.06888888888889,3/26/2015,Western RPG,Obsidian Entertainment
Left 4 Dead 2,1214.5424085755878,1214.5424085755878,17.55027777777778,11/17/2009,Tactical FPS,Valve Software
Golden Sun,1214.4204152377931,1214.4204152377931,24.979444444444443,8/1/2001,JRPG,Camelot Software Planning
Terraria,1213.724366764328,1213.724366764328,104.50555555555556,5/16/2011,Sandbox,Engine Software
Donkey Kong Country,1213.18752012379,1168.2827531824935,4.300833333333333,11/17/2000,2D Platformer,Rare Ltd.
Marvel's Spider-Man: Miles Morales,1212.9239906875548,1212.9239906875548,13.311666666666667,11/12/2020,Open-World Action,Insomniac Games
Pillars of Eternity II: Deadfire,1212.7569792845773,1212.7569792845773,70.30083333333333,,Western RPG,Obsidian Entertainment
Slay the Princess,1212.615756231231,1212.615756231231,4.971111111111111,10/23/2023,Visual Novel,Black Tabby Games
Batman: Arkham Knight,1212.4393880874215,1212.4393880874215,30.781111111111112,6/23/2015,Open-World Action,Rocksteady Studios
The Dark Egg,1212.2502854305815,1212.2502854305815,,8/28/2022,,
Mega Man X,1211.7592192822924,1211.7592192822924,4.061111111111111,12/21/2011,2D Platformer,Capcom
Voidigo,1210.8183641095995,1210.8183641095995,15.079166666666667,6/8/2023,Top-Down Em-Up,semiwork
Supraland,1210.7495372166702,1210.7495372166702,18.420555555555556,4/5/2019,Metroidvania,Supra Games
Webbed,1210.6562084495201,1210.6562084495201,5.568333333333333,9/9/2021,2D Platformer,Sbug Games
VA-11 Hall-A: Cyberpunk Bartender Action,1209.2190838037757,1209.2190838037757,13.359722222222222,,Simulation,Sukeban Games
Hyper Light Drifter,1207.8597686020462,1207.8597686020462,10.082777777777778,3/31/2016,Action RPG,Heart Machine
Total War: WARHAMMER II,1207.6004520728727,1207.6004520728727,125.90444444444445,9/28/2017,Real-Time Tactics,Creative Assembly
Super Mario Bros. Wonder,1207.5302852714112,1276.5026888634345,14.795833333333333,10/20/2023,2D Platformer,Nintendo
SIGNALIS,1206.94536220361,1206.94536220361,,,Survival,rose-engine
Ni no Kuni: Wrath of the White Witch Remastered,1206.9272467315204,1206.9272467315204,55.841944444444444,9/20/2019,JRPG,QLOC
Bioshock 2 Remastered,1206.881690561287,1206.881690561287,12.919166666666667,9/14/2016,FPS,2K Marin
Psychonauts 2,1206.8604180358195,1239.9629568836747,20.50638888888889,8/24/2021,3D Platformer,Double Fine Productions
Mouthwashing,1206.4837048934007,1206.4837048934007,2.663611111111111,9/26/2024,First-Person Adventure,Wrong Organ
Teardown,1206.166334599129,1206.166334599129,21.730833333333333,4/21/2022,Sandbox,Tuxedo Labs
Yellow Taxi Goes Vroom,1205.6616639216466,1205.6616639216466,9.231111111111112,4/9/2024,3D Platformer,Panik Arcade
Valkyria Chronicles,1204.3661270439866,1204.3661270439866,36.66833333333334,,Turn-Based Tactics,Sega
"Warhammer 40,000: Rogue Trader",1204.1881669700404,1204.1881669700404,97.67333333333333,12/7/2023,Western RPG,Owlcat Games
Super Mario World 2: Yoshi's Island,1203.9913156386385,1258.8078406995708,9.865833333333333,8/5/1995,2D Platformer,Nintendo
Braid,1203.6652101536044,1203.6652101536044,5.745833333333334,8/6/2008,2D Platformer,Number None Inc.
Vampire: The Masquerade - Bloodlines,1203.1645490511655,1203.1645490511655,28.800555555555555,11/16/2004,Western RPG,Troika Games
Pikmin,1202.569606556159,1202.569606556159,8.042222222222222,10/26/2001,Real-Time Strategy,Nintendo
Persona 5 Strikers,1201.7696233121744,1201.7696233121744,46.72694444444444,2/20/2020,Action RPG,Omega Force
Super Mario Bros. 3,1201.5742061071257,1246.7222930420073,5.252777777777778,7/14/1993,2D Platformer,Nintendo
Bully,1201.165657160655,1201.165657160655,19.753333333333334,10/17/2006,Open-World Action,Rockstar Vancouver
Transiruby,1201.1437753037974,1201.1437753037974,7.526666666666666,12/9/2021,Metroidvania,Skipmore
Death Trash,1200.306542693845,1200.306542693845,8.03,8/5/2021,Action RPG,Crafting Legends
System Shock 2,1200.1986637500995,1276.4254135132308,15.63861111111111,8/11/1999,Survival,Irrational Games
Dishonored 2,1199.395875283746,1199.395875283746,20.913333333333334,11/11/2016,Action Adventure,Arkane Studios
Skies of Arcadia,1198.7990713208426,1198.7990713208426,49.185833333333335,10/5/2000,JRPG,Overworks
Returnal,1198.0288963526602,1198.0288963526602,27.576944444444443,4/30/2021,Third Person Shooter,Housemarque
"Warhammer 40,000: Space Marine II",1197.794915700043,1197.794915700043,11.7875,9/9/2024,Tactical Third Person Shooter,Saber Interactive
Wildermyth,1196.8843389330334,1196.8843389330334,42.70638888888889,6/15/2021,Turn-Based Tactics,Worldwalker Games
Star Wars Jedi Knight II: Jedi Outcast,1196.6662970132156,1196.6662970132156,14.489444444444445,3/26/2002,Linear Action Adventure,Raven Software
Total War: SHOGUN 2,1196.6602064654078,1196.6602064654078,53.02361111111111,,Turn-Based Strategy,Creative Assembly
Sakuna: Of Rice and Ruin,1196.64840697343,1196.64840697343,34.61277777777778,11/10/2020,Action RPG,Edelweiss
Helldivers 2,1196.6024336419719,1196.6024336419719,63.87444444444444,2/8/2024,Third Person Shooter,Arrowhead Game Studios
West of Loathing,1196.0572726545222,1196.0572726545222,11.616666666666667,8/10/2017,RPG,Asymmetric Publications
Not For Broadcast,1195.8058341556284,1195.8058341556284,9.925555555555556,1/25/2022,Virtual Career,NotGames
"Warhammer 40,000: Dawn of War - Dark Crusade",1195.6445066373446,1195.6445066373446,21.178055555555556,10/9/2006,Real-Time Strategy,Relic Entertainment
Star Wars Jedi Knight: Dark Forces II,1195.4171062630921,1195.4171062630921,9.735,9/30/1997,FPS,LucasArts
Vessels,1195.2874541944961,1195.2874541944961,2.582777777777778,12/8/2020,First-Person Adventure,Local Space Survey Corps
Dum Dum,1194.9480655601371,1194.9480655601371,0.0,8/14/2019,,
Slipways,1193.8545523940845,1193.8545523940845,11.231388888888889,,4X Strategy,Beetlewing
