Title,My Rating,raw_score,release_date,genre_metacritic,developer_metacritic
Super Mario Sunshine,3.0,3.6450849196435553,2020-09-18,3D Platformer,Nintendo
Fire Emblem: Radiant Dawn,4.0,3.6347897607555417,2007-02-22,Turn-Based Tactics,Intelligent Systems
Mario Kart 64,4.0,3.6346377441478444,1996-12-14,Auto Racing,Nintendo
Mario Kart 8 Deluxe,3.0,3.6237185093657733,2020-10-01,Auto Racing,Nintendo
XCOM: Enemy Unknown,3.5,3.619325597756755,2012-10-09,Turn-Based Tactics,Firaxis Games
Fire Emblem Fates: Conquest,4.0,3.6161654124203815,2015-06-25,Turn-Based Tactics,Intelligent Systems
Halo 3: ODST,4.0,3.6108039414843907,2009-09-22,FPS,Bungie
Assassin's Creed IV,4.0,3.606195857986529,2013-10-29,Open-World Action,Ubisoft
Animal Crossing,3.5,3.5904556825307052,2001-12-14,Virtual Life,Nintendo
Mario Kart: Double Dash,4.0,3.5887356202591723,2003-11-07,Auto Racing,Nintendo
Fire Emblem Echoes: Shadows of Valentia,3.0,3.587475912702028,2017-04-20,Turn-Based Tactics,Intelligent Systems
Everhood,4.0,3.5842748773146593,2021-03-03,RPG,Foreign Gnomes
Backyard Baseball,3.0,3.577328070069957,2024-10-10,Baseball,Mega Cat Studios
Tony Hawk's Pro Skater,3.5,3.5723961346647592,2000-02-29,Skating,Neversoft Entertainment
Death's Door,3.0,3.5687989570876097,2021-07-20,Action Adventure,Acid Nerve
What Remains of Edith Finch,3.0,3.5476814681434523,2017-04-24,First-Person Adventure,Giant Sparrow
Dragon Ball FighterZ,3.5,3.54717226764857,2018-01-26,2D Fighting,Arc System Works
Borderlands,4.0,3.5421184704843505,2009-10-20,FPS,Gearbox Software
Stray,3.0,3.5189190395432868,2017-02-21,Action Adventure,BlueTwelve Studio
Spark the Electric Jester 3,3.0,3.517902534740855,2022-08-15,3D Platformer,Feperd Games
Star Wars Jedi Survivor,4.0,3.517417035083995,2023-04-28,Open-World Action,Respawn Entertainment
Another Crab's Treasure,3.5,3.5171629414801346,2024-04-25,Action Adventure,Aggro Crab
MLB 09: The Show,4.0,3.510671367004802,2009-03-03,Baseball Sim,SCEA San Diego Studios
Burnout Revenge,3.0,3.4981676378040487,2005-09-13,Auto Racing,Criterion Games
Mario Kart DS,3.0,3.4967218503797928,2005-11-14,Auto Racing,Nintendo
SoulCalibur II,3.0,3.4846973168253648,2003-03-27,3D Fighting,Namco
Tom Clancy's Rainbow Six: Vegas,3.5,3.4753580366973127,2006-12-12,Tactical FPS,Ubisoft Montreal
Pokemon White Version,4.0,3.466778892478487,2012-06-23,Trainer RPG,Game Freak
Fire Emblem Fates: Birthright,3.0,3.4580793820025924,2015-06-25,Turn-Based Tactics,Intelligent Systems
Crimson Skies: High Road to Revenge,3.0,3.45107793096076,2003-10-21,Aircraft Combat Sim,FASA Studio
Star Wars Jedi: Fallen Order,3.5,3.45101608087538,2019-11-15,Action Adventure,Respawn Entertainment
The Lord of the Rings: The Return of the King,3.0,3.4450958083146026,2003-12-31,Action RPG,EA Games
Super Meat Boy,3.0,3.440752600046519,2010-10-20,2D Platformer,Team Meat
Ratchet: Deadlocked,3.5,3.440678818854175,2013-05-21,Third Person Shooter,Insomniac Games
NCAA Football 08,3.0,3.4387172931762686,2007-07-17,Football Sim,EA Sports
Limbo,3.0,3.4339324428079743,2010-07-21,2D Platformer,PLAYDEAD
Ratchet & Clank,3.5,3.430995559504489,2012-06-27,3D Platformer,Insomniac Games
"Warhammer 40,000: Boltgun",3.5,3.428607150667665,2023-05-23,FPS,Auroch Digital
Pokémon Legends: Arceus,3.5,3.428028940348531,2022-01-28,Trainer RPG,Game Freak
Nioh 2,3.0,3.4144788703043476,2020-03-13,Action RPG,Team Ninja
Vomitoreum,2.5,3.4125404192824194,2021-07-30,FPS,Scumhead
MLB 17: The Show,4.0,3.408386054324464,2017-03-28,Baseball Sim,Sony Interactive Entertainment
How Fish is Made,3.5,3.4082381695915864,2022-01-14,Third-Person Adventure,Johanna Kasurinen
Gears of War 2,3.0,3.4057936905918993,2008-11-07,Third Person Shooter,Epic Games
Planet Coaster,2.5,3.4029223950148384,2016-11-17,Tycoon,Frontier Developments
Sonic Advance,3.0,3.394697315678089,2011-12-31,2D Platformer,Sonic Team
Pokemon Black Version 2,3.0,3.3918389163436964,2012-06-23,Trainer RPG,Game Freak
Fable II,3.0,3.38882390903455,2008-10-21,Action RPG,Lionhead Studios
Tomb Raider,3.5,3.38602457936328,1996-10-24,Linear Action Adventure,Crystal Dynamics
Tom Clancy's Rainbow Six: Vegas 2,3.5,3.3852963673025234,2008-03-18,Tactical FPS,Ubisoft Montreal
Geometry Wars,3.0,3.381637935522806,2003-11-17,Top-Down Shoot-Em-Up,Bizarre Creations
Luigi's Mansion,4.0,3.372619135295503,2001-09-14,Action Adventure,GREZZO
The Lord of the Rings: The Two Towers,3.0,3.3501727344448997,2003-07-02,,
Rise of the Tomb Raider,3.0,3.349674483830758,2015-11-10,Linear Action Adventure,Crystal Dynamics
HuniePop,3.0,3.3471579750574634,2015-01-19,Matching Puzzle,HuniePot
Super Monkey Ball,3.0,3.344784272596616,2008-07-10,Party,Amusement Vision
Dragon's Dogma 2,3.5,3.335420543868767,2024-03-22,Action RPG,Capcom
Super Mario Land,3.0,3.3291162699808305,1989-04-21,,
Star Wars: Battlefront,3.5,3.3288165584930347,2015-11-17,Tactical FPS,Pandemic Studios
Castle Crashers,3.0,3.3251711263335997,2008-08-27,2D Beat-Em-Up,The Behemoth
Battlefield 3,3.0,3.314608281016591,2005-10-12,Tactical FPS,EA DICE
Megadimension Neptunia VII,3.5,3.2910389644391356,2015-04-23,JRPG,Compile Heart
Sid Meier's Civilization VI,3.5,3.2885084313589092,2016-10-20,4X Strategy,Firaxis Games
Horizon Zero Dawn,2.0,3.2820728131320935,2017-02-28,Open-World Action,Guerrilla
Furi,3.5,3.275036726881085,2016-07-05,Action Adventure,The Game Bakers
Burnout Paradise,3.5,3.273262776885315,2008-01-22,Auto Racing,Criterion Games
Dragon Age: Inquisition,3.0,3.271159240233407,2014-11-18,Western RPG,BioWare
Pokemon FireRed Version,3.0,3.2608444517500286,2004-01-29,Trainer RPG,Game Freak
Gears of War 3,3.0,3.260223977682321,2011-09-20,Third Person Shooter,Epic Games
Wii Sports,3.5,3.2519237562883028,2006-11-19,Athletics,Nintendo
Recettear: An Item Shop's Tale,3.0,3.2423204873551903,2007-12-21,Virtual Life,EasyGameStation
Superliminal,3.0,3.238771534937985,2019-11-12,First-Person Adventure,Pillow Castle Games
Forza Motorsport 4,3.0,3.2380327398147837,2011-10-11,Auto Racing Sim,Turn 10
Major League Baseball Featuring Ken Griffey Jr.,3.0,3.231402755459092,1998-05-31,Baseball Sim,Angel Studios
Pokémon Snap,3.5,3.2258150496426343,1999-03-21,Rail Shooter,HAL Labs
Gears of War,3.0,3.2206204715194806,2007-11-06,Third Person Shooter,Epic Games
Crysis 2,3.0,3.218072481907279,2011-03-22,FPS,Crytek
Mario Superstar Baseball,4.0,3.2128735099751706,2005-07-21,Baseball,Namco
Scott Pilgrim vs. the World: The Game,3.5,3.2118486709266283,2010-08-10,2D Beat-Em-Up,Engine Software
Pokemon Diamond Version,3.0,3.20996820806715,2006-09-28,Trainer RPG,Game Freak
Project Gotham Racing 2,3.0,3.2023702087862738,2003-11-18,Auto Racing Sim,Bizarre Creations
Forza Motorsport 3,3.0,3.1988402471790947,2009-10-22,Auto Racing Sim,Turn 10
Overlord,2.5,3.1971865084074897,2021-07-01,Action Adventure,Triumph Studios
Sonic Generations,3.0,3.1927475370809866,2011-11-01,3D Platformer,Sonic Team
Halo 4,3.0,3.1842308100459977,2012-11-06,FPS,343 Industries
Mario Power Tennis,3.0,3.175684847919349,2004-10-28,Tennis,Camelot Software Planning
Pokémon Omega Ruby,3.0,3.1629863340395072,2014-11-21,Trainer RPG,Game Freak
Project Gotham Racing 3,3.0,3.1496684551303447,2005-11-22,Auto Racing Sim,Bizarre Creations
New Pokémon Snap,3.0,3.146579729159845,2021-04-29,Rail Shooter,Bandai Namco Games
Fire Emblem Engage,4.0,3.1456305217705,2023-01-20,Turn-Based Tactics,Intelligent Systems
Mirror's Edge,3.0,3.1449432131839234,2009-09-02,Action Adventure,EA DICE
Pokemon Trading Card Game,3.0,3.1261199838159746,1998-12-18,,
NCAA Football 09,3.0,3.1244922710562157,2008-07-15,Football Sim,EA Tiburon
James Bond 007: Nightfire,2.5,3.1196653951342466,2002-11-28,FPS,Eurocom
