rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,param_preprocess__categorical__encode__min_frequency,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
36,2.2309983730316163,0.02306237776653293,0.04833364486694336,0.001512247741588579,0.6,700,0,5,0.01,1,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 0, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': 3}",-46831.57433685677,-35001.615069375286,-37022.77139731234,-31118.619672957186,-21584.963715944497,-34311.908838489224,8206.567157292215
37,1.3897570610046386,0.03204213346454138,0.04840865135192871,0.0016537908174820595,0.7,700,1,3,0.01,0,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 1, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-47689.43792278478,-35017.505230346986,-35311.9356277425,-31844.56756917922,-22750.155617408105,-34522.72039349232,7999.948839516491
38,4.535921096801758,0.0830971783083359,0.05392060279846191,0.0031534171267376954,0.7,700,0,9,0.01,1,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 0, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': 3}",-48151.98549206011,-36424.312137383546,-37209.094572659684,-32415.445604048666,-20613.974759630957,-34962.96251315659,8871.46291255304
39,5.037542390823364,0.09765160791735025,0.05913476943969727,0.008721435561592206,0.6,800,1,9,0.01,100,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 1, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-47649.93274746773,-36389.168971945044,-37249.124152655495,-31993.619680767093,-21968.08291589093,-35049.985693745264,8317.040832714461
40,5.294953441619873,0.10005176138210446,0.053118658065795896,0.004563357651595313,0.6,600,1,12,0.01,1,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 1, 'rgr__max_depth': 12, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': 3}",-47320.0396218135,-36656.63698818153,-37932.93268491879,-31719.0271566338,-22074.476644841638,-35140.62261927785,8256.694008213197
41,4.20252423286438,0.056567116617573514,0.057834720611572264,0.0031524438406624875,0.6,900,1,7,0.01,100,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 1, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-47039.55369718987,-36779.25078016753,-37189.705416369135,-33146.50000350414,-21576.303771693598,-35146.26273378485,8202.871632630951
42,7.977337074279785,0.08542911859343301,0.05686607360839844,0.0025111744017706356,0.7,600,1,18,0.01,0,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 1, 'rgr__max_depth': 18, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-48493.88505017592,-37497.19981184271,-37506.72719515746,-32098.164278421023,-20473.65801820933,-35213.92687076129,9097.373909819995
43,7.2727643013000485,0.11646164236038868,0.06114602088928223,0.0018716431080507796,0.8,1000,0,14,0.01,100,3,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 0, 'rgr__max_depth': 14, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-49509.8572119522,-38446.74404507666,-37778.682100178194,-32405.81377231412,-18962.07738491582,-35420.634902887396,9931.738724121487
44,10.59865894317627,0.11315829611899422,0.06614055633544921,0.004558672361484207,0.6,900,0,17,0.01,0,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 17, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-48034.25687244039,-37487.387802671954,-37522.416863571365,-32048.25053236623,-22595.089036037585,-35537.48022141751,8289.653227158613
45,4.061563348770141,0.015250222676383556,0.061159515380859376,0.0034888536220043734,0.8,1000,0,6,0.01,0,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 0, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-56290.20939390306,-52513.89970585539,-37405.1902938672,-42959.131527925296,-20324.68267276236,-41898.62271886266,12700.806081037597
46,4.2943644523620605,0.05197179982080242,0.07161250114440917,0.02761830543497629,0.6,900,1,7,0.01,0,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 1, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-55532.96416972942,-56388.68321023566,-37704.96876631012,-42543.59620750306,-19719.21884976626,-42377.886240708904,13450.928090573578
47,3.3486692905426025,0.06926419321744376,0.04999074935913086,0.0024858683468019778,0.8,500,1,9,0.01,100,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 1, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-56935.98348230802,-53005.67350979748,-37928.08611082726,-44487.24133721485,-19643.448467095983,-42400.08658144872,13160.47380802485
48,5.402110147476196,0.1617474341362631,0.055484962463378903,0.005831405849609654,0.8,500,0,14,0.01,0,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 0, 'rgr__max_depth': 14, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-56183.96057253857,-54248.24107020193,-38113.64719925974,-44585.31004757079,-19846.955210886732,-42595.62282009155,13129.929730812664
49,3.8996206283569337,0.11705940030765356,0.050487947463989255,0.003908402657827105,0.7,500,1,11,0.01,100,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 1, 'rgr__max_depth': 11, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-56061.968686390355,-55454.97467047885,-38447.036062953826,-44453.095339016836,-19957.04360823628,-42874.82367341523,13262.593112901155
50,5.0018243312835695,0.15182499657566145,0.05378170013427734,0.004267264311097551,0.7,500,0,14,0.01,1,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 0, 'rgr__max_depth': 14, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-56199.744703248936,-56538.27702199813,-38595.09426702563,-44415.38330338573,-19939.368690677027,-43137.57359726708,13495.353224561455
