rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
78,0.05427742004394531,0.00444315576479836,0.014904499053955078,0.002153930358227651,2,2.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 2}",-28505.1931344518,-41484.80983672774,-33245.849115649675,-41255.48571804035,-45816.14156510258,-38061.495873994434,6270.064675214791
79,0.05332417488098144,0.0008512701281677094,0.012901401519775391,0.000662196873029405,5,300.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 300}",-29693.02312617226,-41387.43357031472,-26228.347733443217,-49656.92523012592,-43459.75438891059,-38085.096809793344,8771.647331409593
80,0.053715753555297854,0.000995282330952268,0.01362161636352539,0.0004898878716901149,4,2.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 2}",-27805.992200793906,-44114.27698484466,-31328.127603701385,-40983.3263913253,-46499.27425508705,-38146.19948715046,7305.437524205044
81,0.05582442283630371,0.0014547178608928326,0.014416885375976563,0.0003799890571242745,3,1.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 1}",-30097.401074180027,-45206.003505164015,-31715.885825480684,-42837.32102748382,-45754.308338174436,-39122.183954096596,6798.531247989687
82,0.052921724319458005,0.0013111493749879992,0.01340031623840332,0.0004893007986993971,5,2.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 2}",-27938.638090532746,-45668.46276259373,-33287.66198935066,-41343.825907451435,-48058.685581120546,-39259.454866209824,7571.917176782424
83,0.052679824829101565,0.0025673963646041455,0.013603115081787109,0.0008008624314317748,2,1.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 1}",-30705.07775615411,-42979.48323583304,-34760.06539946636,-43143.524100405506,-47008.68709361889,-39719.36751709558,6022.283289308228
84,0.05473561286926269,0.002186806979449741,0.013710212707519532,0.000749781595111642,4,1.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 1}",-29702.591386934007,-45870.13609888444,-32951.8004868566,-42867.85576706742,-47691.16972872097,-39816.71069369269,7174.718837537947
85,0.05550575256347656,0.004037330394431584,0.01350092887878418,0.000774883240582682,,400.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 400}",-31953.446609327544,-43042.35789096032,-27361.432026197792,-52098.41175612152,-46576.32098383954,-40206.393853289344,9199.37971847906
86,0.05559835433959961,0.0014980844201082017,0.013907432556152344,0.0010224050084112334,3,400.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 400}",-31911.915311500015,-43329.66093771595,-27353.66367623902,-52215.29497653858,-46521.26325988854,-40266.35963237642,9250.071858120866
87,0.06103405952453613,0.0022717147061060445,0.01520228385925293,0.0020348434210584335,2,400.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 400}",-31961.20116831385,-43287.102922516,-27525.894270593348,-52243.430318926024,-46417.722745164676,-40287.070285102775,9183.761217422889
88,0.055690574645996097,0.0031066914035956343,0.01360025405883789,0.000488928848767872,4,400.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 400}",-31823.735359775623,-43571.57511481985,-27551.20922965002,-52236.35853384351,-46280.80402093087,-40292.73645180397,9201.39489510984
89,0.054515838623046875,0.0015221593344273377,0.020204877853393553,0.013666786807222275,5,400.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 400}",-31885.654630265504,-43709.27831033006,-27535.063771441848,-52402.187888310036,-46243.74094286759,-40355.18510864301,9242.767600847861
90,0.05397796630859375,0.002863549666466373,0.013200902938842773,0.0009796382107881189,5,1.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 1}",-29823.390041819355,-48243.34695354481,-35484.386666109844,-43117.16802759927,-48416.267654243864,-41016.911868663425,7311.452277293211
91,0.055608606338500975,0.003646035796061398,0.013501596450805665,0.0010010275000057454,,500.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 500}",-34024.634564178006,-45278.69179137613,-28763.18811838355,-54624.54285648799,-49387.511460580165,-42415.71375820117,9619.353208597346
92,0.05406508445739746,0.001528404132625212,0.013011312484741211,0.0003189903236363084,3,500.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 500}",-33981.416264061976,-45532.953489225125,-28748.98396205608,-54718.30068359889,-49337.07872587154,-42463.746624962725,9663.140932143875
93,0.053517723083496095,0.0011489548665267791,0.014615488052368165,0.0010668770007593493,2,500.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 500}",-34019.734054537985,-45498.705176681986,-28889.24277521934,-54749.615986808756,-49241.31814269416,-42479.72322718844,9608.915254721116
94,0.054303216934204104,0.0008733921836588459,0.013405179977416993,0.0008629215693762982,4,500.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 500}",-33900.84225506078,-45753.09989454216,-28931.28277464131,-54734.13555757227,-49099.07859070873,-42483.68781450505,9611.023261218239
95,0.056197834014892575,0.0009234848798838451,0.015702295303344726,0.0019931661648749585,5,500.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 500}",-33961.557841347225,-45881.20911374084,-28916.00676235297,-54874.825242765335,-49065.246088308675,-42539.76900970301,9644.618084365127
96,0.05711917877197266,0.0014615591297751581,0.014993619918823243,0.0008221777417982212,3,0.05,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 0.05}",-40926.22795619846,-49300.329909009335,-36883.50420804076,-51260.415827319004,-48489.32137636544,-45371.959855386594,5507.129184257117
97,0.05625185966491699,0.0017328928274375766,0.014917659759521484,0.0021992707654660826,4,0.05,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 0.05}",-41929.603496466094,-48256.16341975832,-39289.39931443895,-50088.076635231984,-50535.44814677579,-46019.73820253423,4560.071822200044
98,0.060087394714355466,0.0035382139910979165,0.01526341438293457,0.0010138467499384999,3,0.01,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 0.01}",-43224.02716501542,-49612.51313446749,-38176.95931645256,-52626.06976919967,-49155.900675225785,-46559.09401207218,5181.8494951171315
98,0.05712108612060547,0.0022876890913351095,0.013833713531494141,0.0012891287624625571,3,0.01,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 0.01}",-43224.02716501542,-49612.51313446749,-38176.95931645256,-52626.06976919967,-49155.900675225785,-46559.09401207218,5181.8494951171315
100,0.055063724517822266,0.003391868100824161,0.013502836227416992,0.0004456436508280002,5,0.05,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 0.05}",-41471.352230461125,-54741.63717967457,-42540.101470373374,-50436.9872367431,-46112.7511322994,-47060.56584991031,4959.260791364108
101,0.054414224624633786,0.0016779444190498957,0.013853788375854492,0.0006021466706711235,4,0.01,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 0.01}",-45584.58011314168,-48315.869155507506,-40508.45000297407,-51278.66711305069,-51083.52170473937,-47354.21761788266,4005.7443160467474
101,0.0552708625793457,0.0020422970188155028,0.013612508773803711,0.00019899375004722903,4,0.01,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 0.01}",-45584.58011314168,-48315.869155507506,-40508.45000297407,-51278.66711305069,-51083.52170473937,-47354.21761788266,4005.7443160467474
103,0.05601425170898437,0.005470039241269895,0.015001487731933594,0.0020984888844720988,5,0.01,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 0.01}",-45387.945494622,-55383.34469005332,-43672.78537334966,-51501.67322983696,-46430.91641795297,-48475.33304116299,4327.942355720576
103,0.05387449264526367,0.00265076987306621,0.013502740859985351,0.0006364155430896841,5,0.01,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 0.01}",-45387.945494622,-55383.34469005332,-43672.78537334966,-51501.67322983696,-46430.91641795297,-48475.33304116299,4327.942355720576
105,0.05196256637573242,0.004435639895447711,0.012801599502563477,0.00040052125507295146,2,0.05,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 0.05}",-44240.91316998478,-56667.22791540149,-40103.786608110124,-55082.53631708299,-51414.339695998904,-49501.76074131566,6358.386101599342
106,0.05500559806823731,0.0029262551699104767,0.013002300262451172,0.0006323482193762215,,1000.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 1000}",-42370.51581876972,-54240.765474502914,-35516.12751164909,-64475.67832839657,-61544.26717414065,-51629.47086149179,11095.1807029276
107,0.05647859573364258,0.0033849375699113236,0.01421184539794922,0.000808624937803363,3,1000.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 1000}",-42337.49654024166,-54412.95310814062,-35493.42639743224,-64515.307702670616,-61510.41152318561,-51653.91905433415,11118.770453939747
108,0.057265853881835936,0.0019253060830744504,0.013800239562988282,0.0007481639380387819,4,1000.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 1000}",-42274.6560902513,-54565.64514111527,-35625.0658372254,-64510.2695922455,-61306.24306810326,-51656.375945788146,11061.879911193528
109,0.05449752807617188,0.0037892204975729284,0.014512014389038087,0.0013417633972719447,2,1000.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 1000}",-42350.62422498036,-54396.46507024363,-35563.87811196258,-64552.70740984692,-61442.69700024609,-51661.274363455916,11091.987333839483
110,0.054500579833984375,0.0035580302373432924,0.013401222229003907,0.0008006941226455348,5,1000.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 1000}",-42324.295232964665,-54660.29806019594,-35615.68766250443,-64586.04696946047,-61281.57858097422,-51693.58130121995,11074.556031353819
111,0.05265812873840332,0.0034028284678756624,0.014003276824951172,0.001304973310799077,2,0.01,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 0.01}",-49876.67988374591,-63021.64346358477,-41451.54603607469,-59907.18452491785,-52449.61600696159,-53341.33398305697,7628.693615263638
111,0.05044426918029785,0.0013863228793018446,0.012704849243164062,0.0003992029313669554,2,0.01,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 0.01}",-49876.67988374591,-63021.64346358477,-41451.54603607469,-59907.18452491785,-52449.61600696159,-53341.33398305697,7628.693615263638
113,0.05442590713500976,0.0004749895636567512,0.014101743698120117,0.0011128848998112559,,0.05,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 0.05}",-63509.219732606405,-66261.06616966313,-39997.9467714441,-61678.22478858165,-68441.21160212664,-59977.533812884394,10253.445022778125
114,0.05771660804748535,0.006336545183675653,0.014600992202758789,0.001853953308009373,,0.01,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 0.01}",-96502.7337485469,-80643.39182987639,-65878.69703202884,-85077.56652901738,-125314.48799694963,-90683.37542728383,19903.152129329876
114,0.06380963325500488,0.003996111012174119,0.015002059936523437,0.0016735986628239122,,0.01,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 0.01}",-96502.7337485469,-80643.39182987639,-65878.69703202884,-85077.56652901738,-125314.48799694963,-90683.37542728383,19903.152129329876
