rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
97,0.07744855880737304,0.0006946152105867784,0.02107863426208496,0.00032934226040855864,2,10.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-59389.448385114854,-40772.98232295719,-53587.312548858485,-40563.76021238831,-38351.26136893955,-46532.952967651676,8376.181288796028
98,0.0774341106414795,0.0024979031193921794,0.02039809226989746,0.00025896583989541884,2,10.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-59541.508513834335,-40805.37099491008,-53614.7697129719,-40389.336154300465,-38394.037766840185,-46549.0046285714,8439.95877931987
99,0.07785754203796387,0.002775047441846395,0.02037334442138672,0.0004555642167722452,2,10.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-59535.48217272608,-40809.633906318275,-53615.518956890824,-40414.10219137036,-38386.34978112164,-46552.21740168544,8435.5261899617
100,0.07784094810485839,0.002990920366076334,0.02041001319885254,0.0006810053741382304,2,10.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-59551.06986936449,-40812.35734161077,-53625.281454038086,-40394.29949320267,-38395.690711354,-46555.739773914,8442.667974717242
101,0.07672319412231446,0.0009509411819562139,0.020677757263183594,0.0008066991101764949,3,10.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-64844.5500340913,-42214.172526736205,-57795.740126089346,-49913.72790419673,-43433.22117359805,-51640.282352942326,8618.941179914316
102,0.07680292129516601,0.001074868870426726,0.021259212493896486,0.0008372589423327595,3,10.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-64844.09468764017,-42134.10357868185,-58021.91518660583,-50035.41600103041,-43526.1339387619,-51712.33267854403,8646.645325553267
103,0.07647142410278321,0.0009235509634614274,0.020609283447265626,0.0006773386920825065,3,10.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-64817.34743752044,-42138.327193739686,-58049.13830277473,-50055.3262468836,-43535.97364583159,-51719.222565350006,8638.939499371625
104,0.0777597427368164,0.00505960377346164,0.02059173583984375,0.0008067880536600312,3,10.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-64833.33859495334,-42140.790758358635,-58060.105042391835,-50059.262364900496,-43533.86241179471,-51725.47183447981,8645.097791817083
105,0.07507338523864746,0.003205708914105235,0.020814037322998045,0.0006746020323736032,,10.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-53870.58142119356,-63496.52727828834,-58466.509449796875,-55165.92219378973,-45313.85960676249,-55262.6799899662,5983.094381482515
106,0.0669410228729248,0.0011324040231000965,0.02153949737548828,0.0011094072909694228,,0.01,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-70830.49295803085,-54219.010725772154,-66715.31847504745,-44758.53936942736,-45399.42208915527,-56384.55672348661,10732.537108992641
