rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
28,0.03979816436767578,0.0032048735389630465,0.014501428604125977,0.000774450451915479,3,100,scale,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 100, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-26972.788383808253,-33673.94610973917,-31899.849336287858,-49636.05993981108,-59669.97858681256,-40370.524471291785,12283.443392962154
29,0.03832292556762695,0.0010174493239349766,0.013602209091186524,0.000799633072997167,4,100,scale,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 100, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-27019.03447755935,-34120.72082679738,-32099.71255556261,-49810.89760443712,-59457.27212379796,-40501.52751763088,12157.856984234944
30,0.03970317840576172,0.001399975474142848,0.013998079299926757,0.0008297142542145478,5,100,scale,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 100, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-27073.010629538865,-34430.79896913329,-32017.00622672362,-50214.63552232213,-59575.460317467674,-40662.18233303712,12224.534691955321
31,0.039004039764404294,0.0007060830266366746,0.014301729202270509,0.0005984189195740294,,1000,0.1,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-42315.38932924837,-42182.24017470696,-49010.05525448003,-83870.69611717129,-78016.12691289934,-59078.901557701196,18117.095548875805
32,0.042605352401733396,0.0025212655930701403,0.014500617980957031,0.0012634636316261846,2,1000,0.1,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-43856.43097457213,-41661.21949915791,-49683.29580175741,-83438.4961154931,-77514.15958363653,-59230.720394923424,17643.75247601255
33,0.04189152717590332,0.002831765027760577,0.01399989128112793,0.0012638779625667425,3,1000,0.1,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-43796.443599956416,-42894.368411785996,-49939.89618269516,-83802.94519886523,-77772.29887055396,-59641.190452771356,17539.410746570775
34,0.04050612449645996,0.002074285073757305,0.01360182762145996,0.0004914817608944555,4,1000,0.1,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-43583.805477999296,-45596.98573599533,-49808.945570655174,-84048.68735508726,-77960.57888780943,-60199.8006055093,17213.471520488285
35,0.039803504943847656,0.001210067458864237,0.014302825927734375,0.0008707171932248846,5,1000,0.1,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-42260.183473982164,-46226.50704417406,-50695.70768294152,-86362.26981541852,-78161.27596603765,-60741.18879651078,17961.260893809063
36,0.041496896743774415,0.004002238628602258,0.01650228500366211,0.0025301216845473227,2,100,0.1,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-47653.16203748273,-45610.10414615372,-57654.50069130341,-92998.14964484388,-92860.83455237407,-67355.35021443156,21275.438049269942
37,0.037627363204956056,0.0008204375894804118,0.014199447631835938,0.0004015235993929583,,100,0.1,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-47609.19100028843,-45952.45516979932,-57104.58274573688,-93154.83417224168,-93885.81298968151,-67541.37521554957,21551.699491001178
