rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,param_rgr__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
119,0.04000496864318848,0.0012269959356363874,0.013051319122314452,9.929055009929162e-05,4,0.03,0.4,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.4)}",-26823.52535906533,-40588.40088849005,-36296.02222590585,-40256.78072142076,-43635.55629066692,-37520.05709710978,5834.685472127476
120,0.040615272521972653,0.0020740845138407724,0.013810062408447265,0.0011505708577780305,3,0.06999999999999999,0.8,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.8)}",-27259.110469631934,-40644.682269935154,-36857.200774652105,-40279.24200043809,-42694.93798545358,-37547.034700022174,5475.0076027496325
121,0.04310708045959473,0.004492162812291631,0.014200162887573243,0.001163574818963991,2,0.06999999999999999,0.6,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.6)}",-26739.391906815275,-37705.187227690694,-39706.94474702421,-40345.85201156646,-43239.90890876461,-37547.456960372256,5687.48732899074
122,0.04056448936462402,0.0006867844454284509,0.014101266860961914,0.0008027854992515329,3,0.03,0.5,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.5)}",-27266.96023581198,-40494.516977962645,-36999.77201529884,-40275.339607528964,-42722.72614584889,-37551.862996490265,5457.075998427468
123,0.04058265686035156,0.0020363698389255563,0.013799953460693359,0.00040009048398368584,2,0.08999999999999998,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-26755.747571802476,-37769.24561220879,-39746.96245218998,-40330.52552552033,-43240.29538649797,-37568.55530964391,5683.302920389584
124,0.04080400466918945,0.0016351689135998373,0.014102697372436523,0.0014315444316294567,2,0.03,0.1,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.1)}",-26823.471770838503,-37768.09112312977,-40003.251845122475,-40394.91462908413,-43316.44149829693,-37661.23417329437,5699.262018859964
125,0.039805936813354495,0.000684378035822699,0.014200258255004882,0.0019373973449122429,5,0.049999999999999996,0.4,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.4)}",-25923.582909997225,-39780.801779102825,-37655.21537976567,-41048.65544249373,-43983.93223486691,-37678.437549245275,6224.382926722391
126,0.04881672859191895,0.0029494325123318016,0.014201021194458008,0.0007500880486986446,,0.01,0.5,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.5)}",-30664.066764209798,-41138.39772063517,-36147.780411592874,-41078.73523160358,-39478.144492739855,-37701.42492415626,3957.6245522964214
127,0.03940224647521973,0.0007354845210907667,0.013203048706054687,0.00040011765375342517,4,0.049999999999999996,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-27085.106884852743,-41136.72576657301,-36259.85710484993,-40400.7831240293,-43749.07467753324,-37726.30951156764,5838.546469533309
128,0.04140024185180664,0.00187873572504269,0.013902378082275391,0.000916883145213304,2,0.049999999999999996,0.5,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.5)}",-26889.498233058406,-37901.71044907011,-40177.58688806,-40394.32653242074,-43331.45273139217,-37738.91496680029,5692.2957723962945
